name;sum_pN;sum_pS;ratio;stars;pvalue;fdr
K00001;277.098218009839;479.904321075285;0.577403048568028;***;4.18063580292551e-06;3.54397049921237e-05
K00003;237.914695371733;631.65963370871;0.376650149345221; ;0.868695586614777;1
K00005;193.834303207995;540.366203182405;0.358709153286118; ;0.944748651033536;1
K00008;201.511264046735;503.659341978278;0.40009436389135; ;0.608381048881799;1
K00009;234.496335853438;608.266204443671;0.38551597004787; ;0.79452463375455;1
K00010;277.755081323742;516.47226208322;0.537792833642993;***;0.000146681267319036;0.000848487459507865
K00011;82.8436459508795;479.575390050424;0.172743738877362; ;0.999999999999999;1
K00012;173.851361115695;755.220090646624;0.230199597797831; ;0.999999999999791;1
K00013;189.596120217045;780.982917584967;0.242766027204965; ;0.999999999994023;1
K00014;175.293738330632;405.264605060809;0.432541446111066; ;0.284307049355287;0.63694692626421
K00015;195.918566518531;422.947820146078;0.463221601309741; ;0.0808186754447315;0.22029211685617
K00018;168.441948064527;538.817261726441;0.312614238684218; ;0.999261347049001;1
K00019;127.421671623926;364.881973382109;0.349213392053459; ;0.948381309692733;1
K00020;220.526191226598;373.984355908909;0.589666887778354;***;1.19045630750764e-05;9.03641728779008e-05
K00022;134.430905012067;324.313686257705;0.414508886637753; ;0.473005585622944;0.949176852800532
K00025;189.473265912449;561.546961664661;0.337413037283241; ;0.991705014063259;1
K00026;150.007235081258;522.642353472432;0.287016989887274; ;0.999966737972587;1
K00027;174.117348223669;725.969600964225;0.239841100773928; ;0.99999999998953;1
K00029;278.338631195157;1655.64570430448;0.168114851185559; ;1;1
K00030;117.276583174343;662.706121521255;0.176966198690201; ;1;1
K00031;189.846865076141;509.568764756337;0.372563779820612; ;0.872432070564803;1
K00033;235.968624442353;897.571775099931;0.262896662961669; ;0.999999999873501;1
K00034;174.244017428437;353.056633744937;0.49352993478751; ;0.0252266561685086;0.0803412992823524
K00036;218.879709934476;940.364603853379;0.232760472945879; ;0.999999999999999;1
K00037;160.042675495848;449.573924102996;0.355987451485692; ;0.9421479099335;1
K00038;111.530142424585;292.904329783168;0.380773280159938; ;0.74409017606674;1
K00040;249.186298753467;1022.31666365111;0.243746685947113; ;0.999999999999995;1
K00041;249.513392440195;867.518914344171;0.287617236136947; ;0.999999795213081;1
K00042;166.121160609482;467.084675129352;0.355655343570152; ;0.945637203618799;1
K00043;190.259996665304;671.410811878942;0.283373447819318; ;0.999998365065054;1
K00044;114.942349494303;211.201609787593;0.544230461168841;* ;0.00839856130889074;0.0305232561508979
K00045;162.351646790429;765.337653430072;0.212130745250551; ;1;1
K00046;143.798948894507;443.919503939453;0.323930234239314; ;0.993824729859264;1
K00048;151.84634588322;766.230655056776;0.198173154364293; ;1;1
K00050;217.080860332973;704.856854538775;0.307978646919764; ;0.999921287004507;1
K00052;155.277901682669;654.73957266954;0.237159793243536; ;0.999999999958321;1
K00053;122.660140888313;596.72851280275;0.205554348848182; ;0.999999999999961;1
K00055;134.483703896117;459.98809419634;0.292363445038894; ;0.999839775385849;1
K00056;78.0652643912104;213.740085959735;0.365234551304132; ;0.82441113901974;1
K00057;168.136115078263;511.285802041943;0.328849567906582; ;0.99434279215453;1
K00058;199.973776935833;452.542070773825;0.441889914442402; ;0.193848464011051;0.461898525504479
K00059;146.865649673578;357.592736530882;0.410706467637926; ;0.49927511561175;0.98594504169653
K00060;228.609262020629;483.256885008236;0.473059503366895; ;0.0363645545515336;0.109764821540619
K00064;70.5935991454172;609.885390466952;0.115748959146846; ;1;1
K00065;160.743183541998;359.374878358492;0.447285531688304; ;0.176645469952811;0.428298718618187
K00067;147.478662259807;444.768010433071;0.331585587992732; ;0.989853049783594;1
K00068;160.427584551537;441.805524729998;0.36311810416943; ;0.914817816745563;1
K00071;164.618017482624;440.152544605466;0.374002194239682; ;0.839367497585005;1
K00073;141.919407436719;262.944875659164;0.539730645371767;* ;0.0048757552203325;0.0189858953276584
K00074;166.081210098914;434.650428203546;0.382102948305709; ;0.787766841643516;1
K00075;285.548116604726;450.85371505394;0.633349814075643;***;7.57367261570477e-09;1.21652116389758e-07
K00076;120.165008416671;423.319523646645;0.283863610592588; ;0.999889324102051;1
K00077;179.971852320281;431.898475484108;0.416699438724697; ;0.430539378711384;0.88216439897697
K00079;186.321511450674;374.272932759361;0.49782256514518; ;0.0170355823954476;0.0573914096056373
K00086;217.710025601867;597.772743842343;0.364201994561474; ;0.932698148690288;1
K00087;283.076493285915;467.815123479917;0.605103339071653;***;2.00728344633449e-07;2.30741400636149e-06
K00088;202.320088180391;648.916400637984;0.31178143745709; ;0.999765864118031;1
K00090;214.916782074741;500.896534999958;0.42906422196504; ;0.288744909843133;0.644881555316941
K00091;196.217513394079;490.559578921564;0.399987120474622; ;0.625471932640785;1
K00094;182.141190525728;560.984493040433;0.324681328602429; ;0.997442514952802;1
K00096;181.540720582517;529.060261080429;0.34313807695891; ;0.980884816538093;1
K00097;198.583012116833;485.028089389119;0.409425797105778; ;0.497564880481953;0.983647494491246
K00099;187.393935711525;657.858033246188;0.284854674171619; ;0.999997533926832;1
K00100;262.07799399415;355.46602552713;0.737280007577399;***;8.18601925109378e-13;3.06967840447739e-11
K00101;132.984598263875;281.480275546288;0.472447307385153; ;0.0913172406151025;0.245128649936013
K00102;340.572864009285;577.835756320475;0.589393889671997;***;7.82178899801788e-08;9.80585254873461e-07
K00104;242.968116205165;478.347493629805;0.507932244740054;* ;0.0035047924400948;0.0140582421398674
K00111;274.052586251132;721.529212286773;0.379821886050276; ;0.861284140494564;1
K00112;251.377908919283;657.685784127489;0.382215816406569; ;0.834312735478116;1
K00113;225.224044796552;814.51710832063;0.276512356211791; ;0.999999972497686;1
K00114;188.804920834968;372.453069118017;0.506922714537071;* ;0.00906604616423811;0.0327506366455107
K00118;266.556184621;649.113880003263;0.410646256123285; ;0.478353859168038;0.956707718336076
K00120;238.94743948089;531.241292374813;0.449790787935028; ;0.116512004648181;0.30007887811321
K00122;239.406854343925;457.15215594393;0.5236918413949;** ;0.00131935461000653;0.00595613285671707
K00123;336.968425090622;574.141034782948;0.586908798842452;***;1.30532923632183e-07;1.56552486409532e-06
K00124;218.289655605843;460.215053211226;0.474320981208004; ;0.0405720932979478;0.121143893515366
K00125;129.547518138624;367.692097043488;0.352326087996669; ;0.932161789532872;1
K00127;227.070504010002;450.720358965476;0.503794646709969;* ;0.00641539905619989;0.0241197552813032
K00128;252.707825430568;751.135225552589;0.336434528476091; ;0.996892914965672;1
K00129;111.453483447773;465.022574811001;0.239673274986856; ;0.999999968582994;1
K00130;216.305611494341;841.46318245649;0.257058913573471; ;0.999999999921549;1
K00131;292.108538389206;742.632621835678;0.393341916043436; ;0.726990112766697;1
K00132;37.0093999955372;88.4297285607312;0.418517625213788; ;0.476837294307904;0.954376321409245
K00133;166.235707879487;593.570015572164;0.280060824365002; ;0.999996922556237;1
K00134;167.812252870483;529.244493553782;0.317078883038828; ;0.998414079748628;1
