name;sum_pN;sum_pS;ratio;stars;pvalue;fdr
K00001;268.014260220253;497.661596371446;0.538547201902659;***;3.49680640368431e-06;2.85157084324887e-05
K00002;227.547134611011;534.562219854193;0.425670064511998; ;0.076950225403729;0.210026382083525
K00003;231.465771838828;646.11874005077;0.358240300878195; ;0.790117382446745;1
K00004;176.691183987901;324.032186639101;0.545288990641832;***;7.72460903816037e-05;0.000472925605333244
K00005;194.34648972565;553.921531740375;0.350855633134588; ;0.841461191691207;1
K00006;48.0061224702067;170.873122236624;0.280946013286561; ;0.975106751135373;1
K00008;178.545481706433;513.142962061117;0.347944909912197; ;0.842815878549793;1
K00009;242.923897567698;567.471934078435;0.428080902295551; ;0.0611585996943913;0.174167164421296
K00010;255.200489801556;524.023955717957;0.487001571239067;** ;0.000737229456661766;0.0036130559907879
K00011;123.633804612026;713.468275320297;0.17328563706147; ;1;1
K00012;156.135218118266;808.304678801561;0.193163818313857; ;1;1
K00013;169.480106140949;792.298897356453;0.213909304564765; ;0.999999999999777;1
K00014;163.409336332409;375.447986325919;0.435238281423507; ;0.081156785761362;0.219413754347396
K00015;184.965967065314;440.079290802427;0.42030145687622; ;0.129617931062268;0.327025958395288
K00016;174.776224923797;478.155550052258;0.365521690388611; ;0.670290922516118;1
K00018;149.993571906413;531.637931821087;0.282134819448681; ;0.999573367577863;1
K00019;165.890776382555;359.947746343302;0.460874607683572; ;0.0220075055314797;0.0719331037943224
K00020;209.911593398331;415.664184918383;0.505002838865099;** ;0.000515651671701216;0.00260690567360059
K00021;122.41832342871;711.325270575465;0.172098937704932; ;1;1
K00022;260.67828031073;524.07630748085;0.497405199566774;** ;0.000229579167077986;0.00125407228510267
K00023;181.627604520943;336.889858426566;0.539130519895223;***;9.76273538945644e-05;0.000585179528433886
K00025;192.773102173231;572.205871814378;0.336894659193162; ;0.927296474828308;1
K00026;145.760390967906;544.573639527608;0.267659652226917; ;0.999950664729505;1
K00027;166.075109491256;704.403461344466;0.235767026434361; ;0.999999996897569;1
K00029;295.049270378277;1637.96556025987;0.180131547046365; ;1;1
K00030;169.236930771311;531.024116237453;0.318699143026557; ;0.980037082341565;1
K00031;163.824587719036;773.368942150151;0.211832385282456; ;0.999999999999728;1
K00033;197.193443532266;877.000038138559;0.224849982846991; ;0.999999999999037;1
