name;sum_pN;sum_pS;ratio;stars;pvalue;fdr
K00001;279.588059471999;423.984049172374;0.659430608339537;***;3.8704866535429e-08;7.67392550678821e-07
K00003;227.972196974705;648.618458890911;0.351473495473009; ;0.997200659585803;1
K00005;138.064753007814;247.066923865264;0.558815202164037;* ;0.00975278842543099;0.038612454803829
K00008;191.719112582823;507.147191044014;0.378034456206195; ;0.946627075650787;1
K00010;266.169079094119;401.058721953797;0.663666103052067;***;6.26049637336487e-08;1.16769850875057e-06
K00012;165.865655147507;819.614757099818;0.202370264457435; ;1;1
K00013;160.824546311452;464.529199730655;0.346209767663048; ;0.993935311967687;1
K00014;193.285495878205;355.624194032818;0.543510534776406;* ;0.00686680140142117;0.0290598418971067
K00015;182.69722858159;376.744092648798;0.48493720842997; ;0.107675109652835;0.280088766638264
K00016;199.55531967172;360.6088616444;0.55338440315009;* ;0.00306685742968419;0.0145980094668144
K00018;170.525886768792;530.420623620452;0.321491810791304; ;0.999713203871304;1
K00019;70.3564367933587;295.530399433844;0.23806835752986; ;0.999999429612132;1
K00020;229.067683015661;397.333871340731;0.576511844416167;** ;0.000348099135449395;0.00224172282112935
K00025;147.563099261398;257.315461586981;0.573471560361392;* ;0.00351999359966598;0.0165360893357443
K00026;226.836596277479;554.00840126073;0.409446130710794; ;0.762841568316626;1
K00027;206.864138236961;498.318483891871;0.415124353046973; ;0.695189850347177;1
K00029;133.520213541169;834.853078981614;0.159932588023802; ;1;1
K00030;66.5090539186341;347.977104381266;0.191130545892935; ;0.999999999986375;1
K00031;112.618096908619;280.682676137794;0.401229240287464; ;0.758008592960413;1
K00033;236.768812190997;824.22732118819;0.287261543150106; ;0.999999995789392;1
K00036;71.0449072277604;176.554606409572;0.40239622557879; ;0.724216583194189;1
K00037;115.671186148655;242.236230294338;0.477513978846616; ;0.194801058452993;0.452916957695879
K00040;200.744231426212;584.773318937583;0.343285551726137; ;0.998100274083193;1
K00041;233.845378434316;664.034387681957;0.352158536925527; ;0.997128810943236;1
K00044;206.630014939407;362.689573695416;0.56971589459843;** ;0.000972249009108126;0.0052875226888429
K00046;110.928690090147;261.526931221711;0.424157808803661; ;0.58966876677233;1
K00048;106.087240614403;465.648544131151;0.22782684913651; ;0.999999999922971;1
K00050;153.125491394591;395.740825912481;0.386933774248641; ;0.890625670884777;1
K00052;191.905237263061;639.162108736416;0.300245015528918; ;0.999997821670349;1
K00053;96.9792686564351;397.591762346024;0.243916695064809; ;0.999999965156811;1
K00057;167.236441025653;495.718205305634;0.337361910931925; ;0.998056009815746;1
K00058;190.16644298655;349.476304416346;0.544146886594052;* ;0.00642416749187074;0.0276041872773559
K00059;141.183733664156;368.811415403681;0.382807385475377; ;0.903087078439078;1
K00060;239.028292106142;494.473574033207;0.483399527615787; ;0.0828881375791388;0.227355479765002
K00061;108.933477769498;204.799386867228;0.531903339340171; ;0.0469722429233376;0.146200380322576
K00065;199.993480824944;381.401121886775;0.524365213808455; ;0.0152841638193055;0.0557761224594367
K00067;179.953418662362;435.64386324355;0.413074609435638; ;0.711842840614099;1
K00074;135.086546283046;278.545159448035;0.484971796137952; ;0.153213927893442;0.371343316028087
K00075;292.863195971076;475.318332135581;0.616141175652235;***;1.45367175599828e-06;1.87710024697624e-05
K00076;62.7578741352332;175.837833863205;0.356907684520593; ;0.91402252822858;1
K00077;197.858605167893;406.10659191269;0.487208553389921; ;0.08946329789961;0.241186920889955
K00082;243.460019612749;511.771834909352;0.475719848193428; ;0.123196194894842;0.312394782220758
K00086;163.526266640186;328.61151459612;0.497627926523416; ;0.0753562843481062;0.213199015717451
K00087;213.149761660764;331.218820937178;0.643531551309979;***;5.08228359863685e-06;5.44561280909259e-05
K00088;253.089043716976;822.716773705756;0.307625967776236; ;0.999999546689358;1
K00091;103.50390880574;258.876800467367;0.399819175062723; ;0.754384572932602;1
K00096;221.392579759701;520.290514249062;0.425517232577722; ;0.597182838155378;1
K00097;219.642838934753;452.09844944809;0.485829666531455; ;0.0811102282101746;0.224225311570764
K00099;203.508061224303;707.169221765939;0.287778448157152; ;0.999999942946112;1
K00100;290.719176127155;416.419799027828;0.698139658118723;***;3.87020646195285e-10;1.33495614673935e-08
K00104;243.632139848102;559.663979579098;0.435318599619951; ;0.47195440474829;0.906762539203851
K00111;321.284990469149;817.435261153803;0.393040288004775; ;0.931635915673906;1
K00118;275.814898791861;651.361249645952;0.423443824669921; ;0.618462526658704;1
K00120;297.598059453099;541.376843980772;0.549705926217392;** ;0.000507044861817485;0.00306908404340487
K00122;330.807706435781;515.563567934242;0.641642906928548;***;2.13034839165654e-08;4.58480106853946e-07
K00123;243.500357246902;362.422874552745;0.671868069992542;***;8.423671346091e-08;1.53701481517805e-06
K00124;148.938532752397;360.175111362466;0.413517003407019; ;0.687707218150189;1
K00128;284.223577466023;774.600536967965;0.36692922855252; ;0.9926795919549;1
K00130;31.5218922372265;60.0332999111878;0.525073455629783; ;0.197023204270097;0.456818073989047
K00132;48.0322612467412;86.7405975668063;0.553746026590921; ;0.103770845411064;0.272466098795683
K00133;204.437751057415;520.659208576191;0.392651753181272; ;0.892839254097909;1
K00134;151.769118688484;589.140391427768;0.257611124439584; ;0.999999998926682;1
K00135;117.506875121789;213.028418762296;0.551601874550393; ;0.0185955160654211;0.0662284433560542
K00138;171.440923460943;790.159632106308;0.216969984918031; ;1;1
K00145;166.737074625878;495.005510189956;0.336838825414071; ;0.997901035869479;1
K00147;200.410897905277;732.002883890913;0.273784301012594; ;0.999999999161271;1
K00156;124.009626299795;444.996517821346;0.278675498197003; ;0.999997171768751;1
K00162;121.037335549777;196.936454076225;0.614600969218879;** ;0.00163335748492655;0.00837636282493898
K00169;135.678755079992;350.170172276529;0.387465197843426; ;0.86567493699893;1
K00170;179.996861402333;562.733142070154;0.319861845599087; ;0.999867517900684;1
K00172;126.956521885375;361.340352043099;0.351348863107965; ;0.980888686647591;1
K00174;264.630817517973;479.768711002734;0.551579983123295;** ;0.000894575697412652;0.00495064089249463
K00175;161.499820381297;399.605029648469;0.404148617757309; ;0.790591254493055;1
K00176;158.577094876276;339.896633318593;0.466545059090472; ;0.219724668389854;0.500693859733622
K00177;106.143846552646;313.383241035361;0.33870300850156; ;0.988142902195417;1
K00179;238.112815418708;926.219621317557;0.257080297089787; ;0.999999999999976;1
K00180;69.6645142861308;313.585258317747;0.222154940126496; ;0.999999967687502;1
K00183;158.85545425578;313.720169041736;0.50636034890905; ;0.0583890214190303;0.172158730600841
K00186;124.618339548444;428.099108942438;0.291096937473888; ;0.999972433576649;1
K00188;48.022110958481;85.2517553769798;0.563297620631143; ;0.0837571554071503;0.228990789701634
K00191;214.996703992177;835.836961623267;0.25722325508869; ;0.999999999999596;1
K00194;132.359385675785;230.679448342268;0.573780571381452;* ;0.00667639068001278;0.0283984633400619
K00197;54.2982477385191;324.502321283416;0.167327763708339; ;0.999999999999862;1
K00198;126.210474227412;271.884852868944;0.464205610925479; ;0.276774800662393;0.601310567789393
K00208;161.4859782712;462.931932108972;0.348833094177627; ;0.993016841462591;1
K00210;208.673870130448;423.545874420485;0.492683042695117; ;0.0661539310558418;0.191466205055873
K00212;208.936056820444;513.896114114999;0.406572556362411; ;0.783563017332809;1
K00215;141.982146267747;348.791255678865;0.407069110696029; ;0.743315194391498;1
K00219;291.125526996333;576.726861425673;0.504789262419074; ;0.0180952054319571;0.0646294003938552
K00226;163.035251720752;487.177095107202;0.334652949324058; ;0.998270784766332;1
K00238;137.292043765875;165.671828225172;0.828698791077959;***;2.54058690759328e-08;5.38375736929184e-07
